Epoch | Accuracy | AUC    | Loss   | Precision | Recall | Val_Accuracy | Val_AUC | Val_Loss | Val_Precision | Val_Recall | LR
------|----------|--------|--------|-----------|--------|--------------|---------|----------|---------------|------------|--------
1     | 0.7034   | 0.7798 | 0.7422 | 0.7918    | 0.6815 | 0.8829       | 0.9518  | 0.3938   | 0.9717        | 0.8821     | 0.0010
2     | 0.8159   | 0.8866 | 0.5288 | 0.8772    | 0.8120 | 0.9257       | 0.9335  | 0.2982   | 0.9569        | 0.9518     | 0.0010
3     | 0.8498   | 0.9183 | 0.4477 | 0.9027    | 0.8445 | 0.8584       | 0.8515  | 0.4591   | 0.9269        | 0.8971     | 0.0010
4     | 0.8577   | 0.9252 | 0.4316 | 0.9115    | 0.8509 | 0.9012       | 0.9422  | 0.2977   | 0.9447        | 0.9335     | 0.0010
5     | 0.8733   | 0.9390 | 0.3889 | 0.9174    | 0.8636 | 0.9362       | 0.9939  | 0.2326   | 0.9954        | 0.9260     | 0.0010
6     | 0.8862   | 0.9487 | 0.3517 | 0.9253    | 0.8863 | 0.8715       | 0.9790  | 0.3465   | 0.9925        | 0.8489     | 0.0010
7     | 0.8931   | 0.9540 | 0.3214 | 0.9373    | 0.8857 | 0.9213       | 0.9804  | 0.2174   | 0.9817        | 0.9207     | 0.0010
8     | 0.8911   | 0.9538 | 0.3241 | 0.9301    | 0.8848 | 0.9388       | 0.9599  | 0.2096   | 0.9625        | 0.9625     | 0.0010
9     | 0.9024   | 0.9596 | 0.2954 | 0.9485    | 0.8905 | 0.9152       | 0.9499  | 0.2420   | 0.9563        | 0.9389     | 0.0010
10    | 0.9090   | 0.9612 | 0.2818 | 0.9525    | 0.8967 | 0.9231       | 0.8804  | 0.2856   | 0.9351        | 0.9732     | 0.0010
11    | 0.9060   | 0.9621 | 0.2842 | 0.9379    | 0.9060 | 0.8864       | 0.9503  | 0.2895   | 0.9663        | 0.8917     | 0.0010
12    | 0.9101   | 0.9649 | 0.2791 | 0.9425    | 0.9072 | 0.9388       | 0.9657  | 0.1903   | 0.9490        | 0.9775     | 0.0010
13    | 0.9197   | 0.9687 | 0.2567 | 0.9531    | 0.9128 | 0.9309       | 0.9708  | 0.2248   | 0.9703        | 0.9443     | 0.0010
14    | 0.9076   | 0.9642 | 0.2705 | 0.9460    | 0.8985 | 0.9003       | 0.9174  | 0.2896   | 0.9427        | 0.9346     | 0.0010
15    | 0.9150   | 0.9714 | 0.2493 | 0.9476    | 0.9107 | 0.9379       | 0.9665  | 0.2085   | 0.9527        | 0.9721     | 0.0010
16    | 0.9232   | 0.9690 | 0.2543 | 0.9525    | 0.9197 | 0.9292       | 0.9696  | 0.2180   | 0.9723        | 0.9400     | 0.0010
17    | 0.9201   | 0.9698 | 0.2526 | 0.9451    | 0.9189 | 0.9309       | 0.9115  | 0.2564   | 0.9331        | 0.9861     | 0.0010
18    | 0.9370   | 0.9798 | 0.2086 | 0.9523    | 0.9422 | 0.9353       | 0.9587  | 0.1946   | 0.9442        | 0.9786     | 0.0002
19    | 0.9531   | 0.9846 | 0.1714 | 0.9710    | 0.9515 | 0.9371       | 0.9571  | 0.1888   | 0.9379        | 0.9882     | 0.0002
20    | 0.9514   | 0.9862 | 0.1574 | 0.9685    | 0.9513 | 0.9371       | 0.9625  | 0.1803   | 0.9406        | 0.9850     | 0.0002
21    | 0.9559   | 0.9866 | 0.1568 | 0.9750    | 0.9519 | 0.9327       | 0.9465  | 0.2193   | 0.9350        | 0.9861     | 0.0002
22    | 0.9638   | 0.9896 | 0.1349 | 0.9805    | 0.9610 | 0.9336       | 0.9550  | 0.1970   | 0.9368        | 0.9850     | 0.0002
23    | 0.9649   | 0.9889 | 0.1353 | 0.9821    | 0.9602 | 0.9292       | 0.9586  | 0.2091   | 0.9329        | 0.9839     | 0.0002
24    | 0.9620   | 0.9911 | 0.1253 | 0.9772    | 0.9598 | 0.9327       | 0.9411  | 0.2320   | 0.9350        | 0.9861     | 0.0002
25    | 0.9628   | 0.9890 | 0.1435 | 0.9759    | 0.9611 | 0.9266       | 0.9510  | 0.2210   | 0.9318        | 0.9818     | 0.0002
26    | 0.9616   | 0.9869 | 0.1499 | 0.9738    | 0.9599 | 0.9318       | 0.9537  | 0.2043   | 0.9349        | 0.9850     | 0.00004
27    | 0.9601   | 0.9893 | 0.1302 | 0.9782    | 0.9567 | 0.9327       | 0.9591  | 0.2006   | 0.9341        | 0.9871     | 0.00004
28    | 0.9699   | 0.9907 | 0.1434 | 0.9799    | 0.9702 | 0.9318       | 0.9459  | 0.2156   | 0.9340        | 0.9861     | 0.00004
29    | 0.9738   | 0.9933 | 0.0997 | 0.9855    | 0.9720 | 0.9318       | 0.9521  | 0.1986   | 0.9376        | 0.9818     | 0.00004
30    | 0.9705   | 0.9942 | 0.0982 | 0.9849    | 0.9662 | 0.9318       | 0.9520  | 0.2104   | 0.9358        | 0.9839     | 0.00004
